season,season_type,week,team_abb,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,name_display,opp_abb
2024,REG,11,LAC,38.6,0.4,45,4,2.5,1.4,-0.8,0.1,53.3,Justin Herbert,CIN
2024,REG,11,ATL,34.9,-2.2,31,0.4,0.5,0,-0.7,-0.1,26.7,Kirk Cousins,DEN
2024,REG,11,BAL,57.9,-0.7,43,3,0.9,2.1,-0.5,0.1,44,Lamar Jackson,PIT
2024,REG,11,JAX,30.6,-3,35,0,0.7,-0.6,-0.3,-0.1,22.7,Mac Jones,DET
2024,REG,11,LA,83.4,4,29,6.4,6.3,0.1,0,-0.1,87.3,Matthew Stafford,NE
2024,REG,11,KC,64.4,0.7,36,3.5,3.5,0,-1,0,56.6,Patrick Mahomes,BUF
2024,REG,11,PIT,14.2,-5.2,46,-1.1,-0.6,-0.7,-1.8,0.2,16.9,Russell Wilson,BAL
2024,REG,11,MIN,68,1.9,43,5.3,5.4,-1.2,-0.9,1.1,64.8,Sam Darnold,TEN
2024,REG,11,MIA,90.6,7.7,41,11.1,10.3,0,-1.2,0.8,93.5,Tua Tagovailoa,LV
2024,REG,11,TEN,38.7,-2.5,44,1.3,2.1,-0.7,-2.4,-0.1,30.8,Will Levis,MIN
2024,REG,12,IND,47.5,-0.6,40,2.4,2.1,0.6,0,-0.3,44.3,Anthony Richardson,DET
2024,REG,12,TB,86.9,5,36,6.3,5,1.2,0,0.2,87.6,Baker Mayfield,NYG
2024,REG,12,DEN,65.4,2.5,46,6.4,6,-0.1,-0.7,0.4,68.1,Bo Nix,LV
2024,REG,12,SF,38.9,-2.5,37,0.7,1.2,-0.4,-0.6,-0.1,27.9,Brandon Allen,GB
2024,REG,12,CAR,45.7,-0.1,45,3.9,3.2,0.9,-1.3,-0.2,49.5,Bryce Young,KC
2024,REG,12,CHI,77.4,3.2,60,7.6,5.3,2.6,-1.4,-0.3,68.1,Caleb Williams,MIN
2024,REG,12,DAL,48,0.1,41,3.6,5,-1.9,-0.2,0.5,50.8,Cooper Rush,WAS
2024,REG,12,NE,44.9,-2.2,54,1.5,0.5,1.3,-1,-0.4,35.9,Drake Maye,MIA
2024,REG,12,LV,33.9,-2.6,48,1.6,0.8,0.2,-0.9,0.6,31,Gardner Minshew,DEN
2024,REG,12,SEA,42.6,0.2,40,3.8,3.8,-0.2,-2.9,0.2,52.1,Geno Smith,ARI
2024,REG,12,PHI,76.6,3,37,5.7,4.5,0.9,-0.6,0.2,75.6,Jalen Hurts,LA
2024,REG,12,CLE,80.5,3.1,38,6.4,4.2,2.6,-0.2,-0.4,75.7,Jameis Winston,PIT
2024,REG,12,DET,40.5,-1.2,42,2.3,3,-0.7,-1.2,-0.1,40.4,Jared Goff,IND
2024,REG,12,WAS,64.1,2.8,50,6.4,1.5,5,-0.8,-0.1,68.7,Jayden Daniels,DAL
2024,REG,12,GB,56.3,0.8,28,2.7,2.2,0.1,-0.9,0.4,59.7,Jordan Love,SF
2024,REG,12,LAC,70.1,3.6,48,6.2,4.4,1.3,-1.1,0.5,74.2,Justin Herbert,BAL
2024,REG,12,ARI,50.1,-0.7,45,2.9,3.1,0,-2,-0.2,44.8,Kyler Murray,SEA
2024,REG,12,BAL,87.5,3.3,31,5.9,5.6,0.1,-0.3,0.3,81.8,Lamar Jackson,LAC
2024,REG,12,LA,79.2,3.5,46,5.8,4,0.7,-1.3,1.2,74.5,Matthew Stafford,PHI
2024,REG,12,KC,63.5,3.4,51,7.8,5.5,1.9,-2,0.4,71.9,Patrick Mahomes,CAR
2024,REG,12,PIT,76.9,3.3,37,6.5,5.8,0.6,-1.5,0.1,78.3,Russell Wilson,CLE
2024,REG,12,MIN,82.5,3.7,43,7.3,6.2,-0.2,-1.2,1.3,77.4,Sam Darnold,CHI
2024,REG,12,NYG,14.4,-3.9,43,0,0,0,-1.6,0,22,Tommy DeVito,TB
2024,REG,12,MIA,57.9,3,44,4.6,4.2,0,-0.4,0.4,72.4,Tua Tagovailoa,NE
2024,REG,12,TEN,65.6,0.5,40,4,4.6,-0.3,-2.7,-0.3,54.5,Will Levis,HOU
2024,REG,13,NYJ,28.9,-2.9,45,1.1,0.4,0.8,-0.8,-0.1,28.7,Aaron Rodgers,SEA
2024,REG,13,IND,72.7,3.3,35,6.4,2.8,2.5,0,1.1,79.4,Anthony Richardson,NE
2024,REG,13,TB,9.6,-6.5,44,-2.6,-1.2,-1.7,-2.1,0.2,10.9,Baker Mayfield,CAR
2024,REG,13,DEN,41.4,-0.2,39,3.3,2.8,-0.2,0,0.6,48.5,Bo Nix,CLE
2024,REG,13,SF,14.1,-3.5,23,-1.1,-0.5,-0.6,-0.8,0,10.6,Brock Purdy,BUF
2024,REG,13,CAR,59.1,3.2,52,7.8,6.4,1.6,-0.5,-0.2,70.7,Bryce Young,TB
2024,REG,13,CHI,66.1,0.9,50,5,2.8,1.1,-1.7,1.1,56.6,Caleb Williams,DET
2024,REG,13,DAL,48.2,0.9,45,4.6,3.7,-0.6,0,1.5,56.7,Cooper Rush,NYG
2024,REG,13,NO,73.9,3.6,40,7.1,6.9,0.2,0,0,77.9,Derek Carr,LA
2024,REG,13,NE,75,4.2,43,7.9,5.1,2.9,-1.4,-0.1,79.8,Drake Maye,IND
2024,REG,13,NYG,42,-1.4,49,2.5,-2.5,5.3,-2.7,-0.3,40.3,Drew Lock,DAL
2024,REG,13,SEA,55.8,0.4,39,3.8,2.4,-0.1,-2.6,1.6,53.8,Geno Smith,NYJ
2024,REG,13,PHI,52.7,0.1,30,2.7,0.8,1.8,-0.6,0.1,50.9,Jalen Hurts,BAL
2024,REG,13,CLE,76.4,3.8,68,9,8.8,0.6,-1.2,-0.3,68.6,Jameis Winston,DEN
2024,REG,13,DET,61.7,1.1,37,4.1,3.7,0.1,-0.5,0.2,60.8,Jared Goff,CHI
2024,REG,13,WAS,81.6,4.9,43,5.2,3.3,1.5,-0.3,0.4,83.5,Jayden Daniels,TEN
2024,REG,13,CIN,49.2,-1.2,53,3.3,2.7,-0.2,-1.9,0.8,42.2,Joe Burrow,PIT
2024,REG,13,GB,84.5,3.5,31,4.5,4.6,0,0,-0.1,83.2,Jordan Love,MIA
2024,REG,13,BUF,95.3,4.7,21,5.3,4,1.4,0,-0.1,95.9,Josh Allen,SF
2024,REG,13,LAC,27.4,-1.7,34,1.4,1,0.2,-1.9,0.2,33.4,Justin Herbert,ATL
2024,REG,13,ATL,34.5,-2.6,46,1.4,0.3,0.1,-0.5,1.1,30.8,Kirk Cousins,LAC
2024,REG,13,ARI,76.7,2.4,60,7.7,4.3,2.1,-0.2,1.3,63.9,Kyler Murray,MIN
2024,REG,13,BAL,41.7,-2,49,2,1.7,0.1,-1.3,0.2,35.7,Lamar Jackson,PHI
2024,REG,13,JAX,55.4,-0.1,38,2.9,3.7,-0.8,0,0,49.4,Mac Jones,HOU
2024,REG,13,LA,67.6,0.9,30,3.6,2.1,0.7,-1.1,0.7,61,Matthew Stafford,NO
2024,REG,13,KC,45.7,0.9,57,5.9,4.9,0.2,-2.3,0.8,55.7,Patrick Mahomes,LV
2024,REG,13,PIT,80.5,5.5,45,9,9,-0.2,-0.5,0.2,85,Russell Wilson,CIN
2024,REG,13,MIN,58.5,2.2,41,5.8,3.9,1.3,-2.6,0.6,67.9,Sam Darnold,ARI
2024,REG,13,MIA,61.7,-0.1,62,3.7,4,-0.4,-2,0.1,49.5,Tua Tagovailoa,GB
2024,REG,13,TEN,50,0.2,47,2.4,2.8,-0.4,-0.3,-0.1,51.7,Will Levis,WAS
2024,REG,12,HOU,23.7,-3.1,43,0.7,1.3,-0.4,-1.3,-0.3,26.3,CJ Stroud,TEN
2024,REG,11,HOU,53.8,0.2,41,3.5,2.9,0.4,-0.5,0.3,52,CJ Stroud,DAL
2024,REG,13,HOU,51.5,0.9,39,4.2,4.8,-0.4,-1.3,-0.1,58.1,CJ Stroud,JAX
2024,REG,13,LV,60.9,0.9,41,4.6,5.1,-0.7,-1.7,0.2,57.9,Aidan OConnell,KC
